No.,Account Name,,,,,,,,,,
1,The Hope International,,,,,,,,,,
2,Nebo Information Technology,,,,,,,,,,
3,Amman Baccalaureate School,,,,,,,,,,
4,16th May,,,,,,,,,,
5,Ministry of Digital Economy and Entrepreneurship,,,,,,,,,,
6,IRIS Sports Academy,,,,,,,,,,
7,Abo Odeh Group - Marouf Coffee ,,,,,,,,,,
8,Bayanat Technology,,,,,,,,,,
9,IKEA Jordan,,,,,,,,,,
10,ACY Securities,,,,,,,,,,
11,Crystel,,,,,,,,,,
12,Mena,,,,,,,,,,
13,Roya TV,,,,,,,,,,
14,Brightminds,,,,,,,,,,
15,Royal Academy For Culinary Arts,,,,,,,,,,
16,Matrix DNC Factory,,,,,,,,,,
17,Steps For Cooling Equipment’s,,,,,,,,,,
18,Migrate Business Hub,,,,,,,,,,
19,Telescope Media,,,,,,,,,,
20,Propeller Inc,,,,,,,,,,
21,Jordan Chamber of Commerce - ____ _____ ______,,,,,,,,,,
22,Jordan Tourim Board – JTB / Cash Basis,,,,,,,,,,
23,Taqa Power – Armada Group,,,,,,,,,,
24,Ayla Oasis Group,,,,,,,,,,
25,Grand Arabia For Shipping,,,,,,,,,,
26,Lafarge Jordan,,,,,,,,,,
27,Zalatimo Sweets,,,,,,,,,,
28,Jordan Taekwondo Federation,,,,,,,,,,
29,FINCA,,,,,,,,,,
30,Deraya Group Constructions,,,,,,,,,,
31,Al-Salaitah Group ________,,,,,,,,,,
32,Pioneers Academy,,,,,,,,,,
33,Shapes Defined International,,,,,,,,,,
34,Tespco,,,,,,,,,,
35,Margo For Medical Equipments,,,,,,,,,,
36,King Abdallah Special Forces,,,,,,,,,,
37,Amman TV,,,,,,,,,,
38,Royal Film Commission,,,,,,,,,,
39,Nabil Food,,,,,,,,,,
40,Golden Sound,,,,,,,,,,
41,Integrated Technology Group,,,,,,,,,,
42,AB Media,,,,,,,,,,
43,Friedrich Naumann Foundation,,,,,,,,,,
44,iMMAP,,,,,,,,,,
45,Jordan Electricity,,,,,,,,,,
46,Channel,,,,,,,,,,
47,Petra Trading,,,,,,,,,,
48,Badr Investments,,,,,,,,,,
49,EHS Hakeem,,,,,,,,,,
50,Eskadenia Software’s,,,,,,,,,,
51,The Higher Council for Science & Technology,,,,,,,,,,
52,Al-Nahrain Shipping,,,,,,,,,,
53,MEMCO,,,,,,,,,,
54,Aljhood Training Group,,,,,,,,,,
55,JA Publishers,,,,,,,,,,
56,Jordan Electricity,,,,,,,,,,
57,Jordan University,,,,,,,,,,
58,Pikasso LTD,,,,,,,,,,
59,Telescope Medical Center,,,,,,,,,,